SFI Rank (for all words in 'NGSL Stats & Frequencies to 34K' list)	Lemma/Word (map to 'Front' in Anki)	Outline in dictionary, or an outline that works without your having to add anything to the dictionary	Outline added to dictionary	Simplified outline/notes (please see the Readme for more information regarding this column)	Alternate outline/notes (note: alternate outlines may have been remapped to another outline. In addition, outlines identified as such in this section are likely original outlines unless otherwise specified.)	Story for remembering new outline (or original outline, if there is no new outline)	Story for remembering original outline (if there is also a new outline) (note: outlines identified as such in this section are likely original outlines unless otherwise specified.)	Word number	NIO (Non-intuitive outline)? (I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	NIVLO (Non-Intuitive Vowel-less Outline?) (I have found that vowel-less outlines that aren't intuitive tend to be less than ideal. However, not all NIVLOs are poor outline choices, and it's certainly the case that not all 'voweled'/intuitive outlines are good outline choices. I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	Outline that you might want to change in the future? (Example: it's a 3-or 4-keypress vowel-less outline that you don't really like.)	Wordlist	Tags (for Anki)	Within-NGSL Rank	1337 Column	#of characters in added-in outline (or pre-existing outline if there's no addition)	# of strokes, if greater than 1, in the added-in outline (or the original outline if there was no addition)	#Of characters in the original outlines (e.g. excluding added-in outlines)	#of strokes in the original outline (excluding added-in outlines)	#number of characters in the original English word (counting capitalization and punctuation, but not spaces before/after words)
rank	word	outline	rope_outline	reason	alt_outline	rope_story	story	number	nio	nivlo	change	wordlist	tags	ngsl_rank	hex_number	#rope_keys	#rope_strokes	#keys	#strokes	#chars
1.00	the	-T						1				1 - NGSL	Top1K	1	0	1.000		1		3
2.00	be	-B						2				1 - NGSL	Top1K	2	1	1.000		1		2
2.01	am	APL						3				5 - Derivative of NGSL Root Word	Top1K	2.01	2	3.000		3		2
2.02	I'm	AOEUPL	*EUPL	"*EUPL overwrites one way to write the ""im-"" prefix."	"With regard to original outlines for contractions: to add 's,' d, and 'll to ""he,"" ""she,"" and ""we,"" you often just need to use AOE for the vowel and then add in the suffix. (One exception is *EL for ""he'll."") Similarly, to produce I'd, I'll, and I'm, just use AOEU for 'I,' and then add the suffix at the end."	"A boy declares to his friends: ""I'm not scared of PORCUPINES (*). Are you?"""		4				5 - Derivative of NGSL Root Word	Top1K	2.02	3	5.000		6		3
2.03	is	S-						5				5 - Derivative of NGSL Root Word	Top1K	2.03	4	1.000		1		2
2.04	isn't	S-PT			S-PBT			6				5 - Derivative of NGSL Root Word	Top1K	2.04	5	3.000		3		5
2.05	 's	AES		AES produces {^'s}.				7				5 - Derivative of NGSL Root Word	Top1K	2.05	6	3.000		3		2
2.06	are	R- or -R (note: I use -R to capitalize words without adding a space)		"I use -R to capitalize words while suppressing the space before them, so I write ""are"" exclusively using R-."				8				5 - Derivative of NGSL Root Word	Top1K	2.06	7	1.000		1		3
2.07	they're	THER	TH*ER	"The Phrases in English site indicates that ""they are"" is more common than is ""they're,"" so I use THER for ""they are"" and TH*ER for ""they're."" I also added in TH*ERT for ""they're the."""	"With regard to original outlines: you can create ""they'd,"" ""they're,"" and ""they'll"" just by adding D, R, and L, respectively to the end of THE (for ""they."""			9				5 - Derivative of NGSL Root Word	Top1K	2.07	8	5.000		4		7
2.08	aren't	R-PBT (or my addition of -RPBT)			"With regard to original outlines: you can often form an ""n't"" contraction by adding -PBT to the end of the brief. Examples include aren't, wouldn't, couldn't, isn't, weren't, hadn't, and didn't. Exceptions (or shorter briefs) are found with ""wasn't,"" ""haven't,"" and ""hasn't."""			10				5 - Derivative of NGSL Root Word	Top1K	2.08	9	4.000		4		6
2.09	ain't	AEUPBT	A*EPB			"It A*EPB (ain't) very common for a PORCUPINE (*) to AEPB (attend) a city council meeting. (AEPB is an addition for ""attend."")"		11				5 - Derivative of NGSL Root Word	Top1K	2.09	A	5.000		6		5
2.10	been	PW-B		B-B	"PW-PB (which I use for ""button"")"	"A kid has been busy since Christmas, when he got a BB gun. He  has shot every branch off the tree in his front yard."		12				5 - Derivative of NGSL Root Word	Top1K	2.1	B	3.000		3		4
2.11	was	WA			WAS			13				5 - Derivative of NGSL Root Word	Top1K	2.11	C	2.000		2		3
2.12	wasn't	WUPBT	WA*	"WA* is based on the addition of WA for ""was."" In many of my added-in outlines, I use an asterisk to turn an outline into its antonym. In this case, for example, the asterisk turns ""was"" into ""wasn't."" WA* does overwrite ""Washington,"" for which I added in WAS, which overwrites one way to write ""was."""			Why did the student have to drink 2 Ts (teas) in the morning? Because WUNT (one T) wasn't enough to wake him up.	14				5 - Derivative of NGSL Root Word	Top1K	2.12	D	3.000		5		6
2.13	were	WR-						15				5 - Derivative of NGSL Root Word	Top1K	2.13	E	2.000		2		4
2.14	weren't	WR-PBT or W-RPBT		WR-NT or W-RNT				16				5 - Derivative of NGSL Root Word	Top1K	2.14	F	5.000		5		7
2.15	being	-BG						17				5 - Derivative of NGSL Root Word	Top1K	2.15	10	2.000		2		5
2.16	we're	WAOER	W*R or WR*	"W*R overwrites one way to write ""where."""		"""We're not sure W-R (where) the PORCUPINE (*) is,"" admits a group of students who had released a PORCUPINE (*) into the halls of their school for a prank. (W-R is an outline for ""where."")"		18				5 - Derivative of NGSL Root Word	Top1K	2.16	11	3.000		5		5
2.17	you're	UR	*UR	"*UR overwrites one way to write ""you are."" I use UR for ""your,"" which is why I added in this addition."	"With regard to original outlines: to create ""you're,"" ""you'll,"" ""you'd,"" and ""you've,"" just add an R, L, D, or F to the end of U (for ""you"")."			19				5 - Derivative of NGSL Root Word	Top1K	2.17	12	3.000		2		6
2.18	it's	"T-S (or T*S if you use T-S for ""its"")"		"I use T-S for ""its,"" which is why I use T*S for ""it's."""				20				5 - Derivative of NGSL Root Word	Top1K	2.18	13	3.000		2		4
2.19	there's	THR-S				"There's a reason why so many people visit TOKYO (T-): it has great food and L-S (also) features lots of cultural attractions. (HR-S is an outline for ""also."")"		21				5 - Derivative of NGSL Root Word	Top1K	2.19	14	4.000		4		7
2.2	why's	KWR*S				"""Why's the sky the limit?"" asks an astronaut. ""Why not say that the STARS (*) are the limit?"" (This story is just meant to help you remember that there's an asterisk in this outline.)"		22				5 - Derivative of NGSL Root Word	Top1K	2.2	15	5.000		5		5
2.21	where's	W-RS				"""A ROLLER COASTER (-R) that only goes 10 miles an hour? Where's the fun in that?"" asks your friend."		23				5 - Derivative of NGSL Root Word	Top1K	2.21	16	3.000		3		7
2.22	he's	HAOES	H*ES	"H*ES overwrites ""hess."""		"Students say of a high schooler with a distinctive hairstyle: ""Maybe he was born like that—or maybe he's really a PORCUPINE (*)."""		24				5 - Derivative of NGSL Root Word	Top1K	2.22	17	4.000		5		4
2.23	she's	SHAOES	SH-S	"The Phrases in English site indicates that ""she's"" is more common than ""she is"" (to which SHES is mapped)."		"""SH (sh)! She's sleeping!"" a woman says of her friend to a crowd of tourists in Ibiza, SPAIN (-S)."		25				5 - Derivative of NGSL Root Word	Top1K	2.23	18	3.000		6		5
2.24	what's	WHATS						26				5 - Derivative of NGSL Root Word	Top1K	2.24	19	5.000		5		6
2.25	who's	WHO*S			WHOES	"Who's going to take a sick PORCUPINE (*) off the side of the road and into their home? A nature lover, that's who. "	"(Story for WHOES, if you prefer that outline: A college senior asks himself: ""who's going to pay all my student loan DEBT (OE)? My parents, I hope."")"	27				5 - Derivative of NGSL Root Word	Top1K	2.25	1A	5.000		5		5
2.27	here's	HAOERS	H*RS	"H*RS (which overwrites ""hrs,"" for which I added in HO*URS, which would normally produce {^-hours}) is based on the addition of H-R for ""here."""		"""And here's a PORCUPINE (*)! What an exciting thing to find H-R (here)!"" is not something that you want your real estate agent to say while showing you a house in rural SPAIN (-S). (H-R is an addition for ""here."")"		28				5 - Derivative of NGSL Root Word	Top1K	2.27	1B	4.000		6		6
